	Coexpression	CC-124 Dark anoxic .5 hour	CC-124 Dark anoxic 6 hours	CC-124 Light oxic	crr1 Dark oxic .5 hour	crr1 Dark oxic 6 hours (1)	crr1 Dark oxic 6 hours (2)	crr1 Light oxic (1)	crr1 Light oxic (2)	crr1:CRR1 Dark anoxic .5 hour (1)	crr1:CRR1 Dark anoxic .5 hour (2)	crr1:CRR1 Dark anoxic 6 hours (1)	crr1:CRR1 Dark anoxic 6 hours (2)	crr1:CRR1 Light oxic (1)	crr1:CRR1 Light oxic (2)	crr1dCys Dark anoxic .5 hour (1)	crr1dCys Dark anoxic .5 hour (2)	crr1dCys Dark anoxic 6 hours (1)	crr1dCys Dark anoxic 6 hours (2)	crr1dCys Light oxic (1)	crr1dCys Light oxic (2)	defline
Cre06.g270500	1	2.48658	7.9535	0.796424	1.38268	0.450744	0.124906	0.233631	0.539171	2.11983	0.925262	0.065956	0.864303	0.441236	0.667026	2.21234	1.07077	1.04229	0.216557	1.4957	0.450127	Prolyl 4-hydroxylase 10
Cre05.g233304	0.995551	0.789184	2.40401	0.317224	0.197238	0.10545	0.0255943	0.0765579	0.12341	0.589913	0.247741	0.0861326	0.211293	0.0819099	0.218342	0.350757	0.25255	0.243168	0.047105	0.246863	0.110012	
Cre16.g665850	0.99308	7.37492	5.77994	4.57143	3.78979	3.04948	2.77712	2.09487	2.54995	4.90228	2.78551	0.935393	3.06202	2.21573	2.85815	4.03778	2.92414	3.43279	1.86229	3.72674	1.91288	Chitinase-like hydrolase
Cre01.g056331	0.96338	35.3218	43.8093	20.1011	29.3048	13.4141	10.6382	16.6177	13.9433	31.0229	19.0196	8.24187	13.7758	13.3862	12.3492	26.6878	27.5764	15.2757	15.6878	13.2253	16.6563	Flagellar Associated Protein 248
Cre09.g416450	0.860924	21.8481	22.1978	17.6096	14.9228	12.0003	10.2909	13.0417	14.0762	13.7037	12.0708	8.34042	13.3214	13.2785	12.0263	15.8612	14.997	12.752	12.2924	15.7679	16.0484	(1 of 1) K03152 - 4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis (thiJ)
Cre02.g092850	0.830924	29.0669	26.8341	25.7596	25.9215	16.8031	15.4574	17.8104	18.3618	33.6099	24.178	11.0023	14.7978	16.0136	20.236	27.2247	24.0932	18.4221	15.7543	19.3968	14.7553	(1 of 14) PF04577 - Protein of unknown function (DUF563) (DUF563)
Cre09.g397850	0.818401	24.1764	30.6066	12.7656	12.6272	11.8844	5.70439	6.53873	6.36528	23.5701	31.4685	1.02867	29.2126	21.25	12.2202	24.7352	8.64304	25.2568	2.85017	24.6851	4.42965	Outer Arm Dynein Light Chain 1
Cre01.g007251	0.817055	1.61845	3.92385	0.759061	1.23384	0.526312	0.654216	1.20571	0.923768	1.94448	1.48902	0.0703447	1.45867	1.19138	1.00508	1.83566	1.59348	1.01788	0.764874	1.30642	1.26979	
Cre13.g588501	0.814136	27.8306	16.0454	19.7421	24.495	9.89788	8.25902	10.6614	12.908	28.0924	20.5756	3.55938	9.91513	10.9388	11.5412	24.7605	23.8806	13.9696	9.73389	16.9797	16.1345	
Cre06.g301000	0.797749	7.58197	8.88929	5.71476	8.18436	6.53037	5.56416	5.60685	4.96199	7.96912	5.70367	2.74687	5.12743	5.36625	5.1323	6.29898	6.86354	5.54036	4.60166	5.17712	5.47608	(1 of 268) PTHR23257 - SERINE-THREONINE PROTEIN KINASE
